city,state,2023 estimate,2020 census,land area,latitude,longitude,abbrev
Denton,Texas,158349,139869,96.4,33.22,-97.14,TX
Surprise,Arizona,158285,143148,110.3,33.67,-112.45,AZ
Macon,Georgia,156512,157346,249.4,32.81,-83.69,GA
Paterson,New Jersey,156452,159732,8.4,40.91,-74.16,NJ
Lakewood,Colorado,155961,155984,43.5,39.7,-105.12,CO
Hayward,California,155675,162954,45.8,37.63,-122.1,CA
Charleston,South Carolina,155369,150227,114.8,32.83,-79.97,SC
Alexandria,Virginia,155230,159467,14.9,38.82,-77.08,VA
Hollywood,Florida,153859,153067,27.3,26.03,-80.16,FL
Springfield,Massachusetts,153672,155929,31.9,42.12,-72.54,MA
Kansas City,Kansas,152933,156607,124.7,39.12,-94.74,KS
Sunnyvale,California,151967,155805,22.1,37.39,-122.03,CA
Bellevue,Washington,151574,151854,33.5,47.6,-122.16,WA
Joliet,Illinois,150489,150362,64.5,41.52,-88.15,IL
Naperville,Illinois,150245,149540,39.1,41.75,-88.16,IL
Escondido,California,148122,151038,37.3,33.13,-117.07,CA
Bridgeport,Connecticut,148028,148654,16.1,41.19,-73.2,CT
Savannah,Georgia,147748,147780,106.8,32.0,-81.15,GA
Olathe,Kansas,147461,141290,61.9,38.88,-94.82,KS
Mesquite,Texas,147317,150108,48.5,32.76,-96.59,TX
Pasadena,Texas,146716,151950,43.7,29.65,-95.15,TX
McAllen,Texas,146593,142210,62.3,26.22,-98.25,TX
Rockford,Illinois,146120,148655,64.5,42.26,-89.06,IL
Gainesville,Florida,145812,141085,63.2,29.68,-82.35,FL
Syracuse,New York,145560,148620,25.1,43.04,-76.14,NY
Pomona,California,145502,151713,23,34.06,-117.76,CA
Visalia,California,144998,141384,37.9,36.33,-119.33,CA
Thornton,Colorado,144922,141867,35.9,39.92,-104.94,CO
Waco,Texas,144816,138486,88.7,31.56,-97.19,TX
Jackson,Mississippi,143709,153701,111.7,32.32,-90.21,MS
Columbia,South Carolina,142416,136632,136.8,34.04,-80.91,SC
Lakewood,New Jersey,139866,135158,24.7,40.08,-74.2,NJ
Fullerton,California,139250,143617,22.4,33.89,-117.93,CA
Torrance,California,139224,147067,20.5,33.83,-118.36,CA
Victorville,California,138869,134810,73.7,34.53,-117.35,CA
Midland,Texas,138397,132524,75.5,32.02,-102.11,TX
Orange,California,138337,139911,25.7,33.79,-117.86,CA
Miramar,Florida,138319,134721,28.9,25.97,-80.34,FL
Hampton,Virginia,137098,137148,51.5,37.05,-76.3,VA
Warren,Michigan,136655,139387,34.4,42.49,-83.03,MI
Stamford,Connecticut,136226,135470,37.6,41.08,-73.55,CT
Cedar Rapids,Iowa,135958,137710,72.1,41.97,-91.68,IA
Elizabeth,New Jersey,135829,137298,12.3,40.67,-74.19,NJ
Palm Bay,Florida,135566,119760,86.4,27.96,-80.66,FL
Dayton,Ohio,135512,137644,55.8,39.78,-84.2,OH
New Haven,Connecticut,135319,134023,18.7,41.31,-72.92,CT
Coral Springs,Florida,134906,134394,22.9,26.27,-80.26,FL
Meridian,Idaho,134801,117635,35.1,43.61,-116.4,ID
West Valley City,Utah,134470,140230,35.8,40.69,-112.01,UT
Pasadena,California,133560,138699,23,34.16,-118.14,CA
Lewisville,Texas,133553,111822,37,33.05,-96.98,TX
Kent,Washington,133378,136588,33.8,47.39,-122.21,WA
Sterling Heights,Michigan,133306,134346,36.4,42.58,-83.03,MI
Fargo,North Dakota,133188,125990,49.8,46.86,-96.83,ND
Carrollton,Texas,132918,133434,36.7,32.99,-96.9,TX
Santa Clara,California,131062,127647,18.3,37.36,-121.97,CA
Round Rock,Texas,130406,119468,37.6,30.53,-97.66,TX
Norman,Oklahoma,130046,128026,178.8,35.24,-97.35,OK
Columbia,Missouri,129330,126254,66.5,38.95,-92.33,MO
Abilene,Texas,129043,125182,106.7,32.45,-99.74,TX
Athens,Georgia,128628,127315,116.3,33.95,-83.37,GA
