city,state,biking,climbing,housing,vegan,winter,summer
Laredo,Texas,,0.3881957438218647,151620.8194031522,0.0,0.56875,0.0896739130434782
Irving,Texas,101.9174429959853,0.0,229685.05589042147,3.931234840175647,0.3597222222222222,0.1175271739130434
Glendale,Arizona,77.87045610392026,1.5757026649071322,255537.55756412703,2.363553997360698,0.6694444444444444,0.0135869565217391
Winston-Salem,North Carolina,53.952193664917786,0.3952959778634252,161739.05207792047,0.3952959778634252,0.30625,0.2934782608695652
Scottsdale,Arizona,,2.4550520880218007,452815.087501768,4.9101041760436015,0.71875,0.0421195652173913
Garland,Texas,,0.0,194038.3684678194,4.107282211360743,0.4472222222222222,0.1195652173913043
Boise,Idaho,1293.5001407805546,0.8495418845387624,380661.0328044235,3.39816753815505,0.1173611111111111,0.4313858695652174
Norfolk,Virginia,434.0018606261223,0.8660633092279045,222776.5073334876,7.361538128437189,0.2083333333333333,0.3695652173913043
Spokane,Washington,372.0663995420721,0.4358304968031833,288859.78779229854,3.0508134776222837,0.1118055555555555,0.5149456521739131
Richmond,Virginia,450.2364597376474,0.8724214493537539,270180.8259767311,7.415582319506908,0.2333333333333333,0.3240489130434782
Fremont,California,73.18430612951431,1.3262130428632055,723673.141037804,2.6524260857264115,0.5708333333333333,0.5855978260869565
Santa Clarita,California,107.77789898549145,1.3391183244951523,505144.8165463275,3.124609423822022,0.5243055555555556,0.360054347826087
San Bernardino,California,76.07269168316391,1.78788528927984,382680.6129364639,3.12879925623972,0.525,0.3192934782608695
Tacoma,Washington,424.2134740366454,0.0,395306.69440619537,1.7944783899939885,0.4520833333333333,0.5190217391304348
Hialeah,Florida,177.58216361349963,0.0,268165.3104813062,1.3556258472661544,0.6590277777777778,0.0686141304347826
Baton Rouge,Louisiana,832.9523180067088,0.9108588032226184,144906.23128364093,2.732576409667855,0.6333333333333333,0.1263586956521739
Modesto,California,234.34277503546872,0.0,334524.1576395984,2.2839915035516065,0.5277777777777778,0.3668478260869565
Fontana,California,457.3228585525067,1.3923375026106328,469490.883828368,0.0,0.5291666666666667,0.3729619565217391
McKinney,Texas,121.75021427158649,0.0,330243.40327638475,0.9367286624919792,0.3847222222222222,0.1419836956521739
Moreno Valley,California,255.26782082630103,0.941655052921014,424526.1265335556,1.412482579381521,0.5527777777777778,0.3539402173913043
Des Moines,Iowa,152.44760493085917,0.0,161362.38273711075,1.425984285653172,0.0673611111111111,0.4769021739130434
Fayetteville,North Carolina,175.09756495674498,0.4767603182851884,141651.2954058717,2.3838015914259425,0.4472222222222222,0.1542119565217391
Salt Lake City,Utah,1186.9613330700745,2.3855758541554346,449170.3079863337,11.927879270777174,0.0819444444444444,0.4239130434782608
Yonkers,New York,183.3584444381272,0.0,397962.36893572257,0.481563347250514,0.0791666666666666,0.5217391304347826
Worcester,Massachusetts,201.6195826569296,0.4816468468989167,347149.9151485209,2.408234234494584,0.0118055555555555,0.6331521739130435
Rochester,New York,406.20009937912175,1.447359533757249,183279.2762396458,6.271891312948078,0.0131944444444444,0.6066576086956522
Sioux Falls,South Dakota,132.82560189587048,0.4844726515188217,238896.0096087296,0.4844726515188217,0.0354166666666666,0.516983695652174
