city,state,biking,climbing,housing,vegan,winter,summer,total
Tampa,Florida,-1.1457909553787868,-0.5982434867751246,0.10209925273742083,1.1222339846025127,3.264910473264352,-1.5553735327537694,0.3576158444943459
Detroit,Michigan,-1.723810110128865,-0.2488634232013453,2.345842230167133,0.005950475827480278,1.2164797036380577,-0.07877063849323997,0.3531383322021132
Los Angeles,California,-1.1343750209419683,0.5503103848195304,-1.345250967014221,0.8722384797068926,3.3233693491539276,0.0035447123931597563,0.34390531065955815
Provo,Utah,0.6679269266166877,1.2331435494417395,-0.17871277505084082,-0.9043599743081955,2.324807729531709,-0.19460575595546928,0.34301123016677826
Tucson,Arizona,-0.2679778637521377,0.9616677930170626,0.18844883463475567,-0.36848080867526833,3.0308880987933495,-0.8944094853100885,0.33769375513812216
Victorville,California,-0.0758234393887048,1.9401142636275206,-0.12080727581701527,-0.6124267594012585,2.9558457909361744,-0.4911706667517468,0.33112352991548977
Athens,Georgia,-0.6647405935422903,1.0506341176457692,0.347632608913619,-0.50190690538301,2.9139095123086642,-0.44035053581382794,0.33090881729663096
Lancaster,California,-0.5459063793911015,2.265568498568235,-0.14875340782387608,-0.13496943101549358,2.8276759143062815,-0.3732363399552908,0.32496207122410387
Albuquerque,New Mexico,-0.7555275208638794,0.5126687993485315,0.24883010007617185,-0.12233438387222041,2.451036789655376,-0.2242950294949352,0.31954199110010256
San Diego,California,-1.0450535934837717,1.5254612045691207,-1.3354592757783277,0.8029951800980295,3.281884139226021,-0.11223337478715328,0.3184266150549596
Chico,California,-0.05398117647741615,1.3951904273608644,-0.12003307082249297,-0.7423130963890706,3.040541964343822,-0.5477401544271143,0.31529489324554555
Inglewood,California,-2.0746980508962416,3.6950147519644148,-1.0916323960893666,1.5575112282144798,3.3460461877137906,-0.18881176881786343,0.30968304002495983
Orange,California,-0.9970483832860185,2.5306142686165596,-1.2295764102761109,0.6155031662030729,3.354369520679794,-0.2402302871384461,0.3006035212364583
Norfolk,Virginia,-1.7632894878455991,1.2063832381634543,0.44736586076294543,0.6538422151346754,2.453445297804264,-0.28893653796741836,0.3004854695777734
Torrance,California,-1.477092276290481,2.521393413687448,-1.4270066310374616,1.1208554841037188,3.271902587982203,0.009706351618224772,0.2996731032752407
Santa Clara,California,-0.6527303756258569,1.0235893907689124,-1.6750304875357838,0.6934407890765815,3.0968858716983445,-0.030854786099491983,0.28634220230275875
Irvine,California,-0.0758234393887048,2.345186374460507,-1.7175628359851567,0.08215196862671356,3.3168609063205103,-0.21227229251160956,0.2786708614123506
Fort Lauderdale,Florida,-1.9783505181816634,0.5321350739713911,-0.6075825393423798,1.9181935062784692,3.288714414017879,-1.315956457823863,0.26100368098968835
Arlington,Texas,0.26460328382859216,0.4195089423005249,0.4754789261455875,-1.3960664865620478,2.912638415027438,-0.9824480995220423,0.25484120778350555
Raleigh,North Carolina,-1.1858510268551488,-0.8560770103785171,-0.02981956414299309,0.09388230712188742,2.7695794055540204,-0.41780659104955886,0.24599690612564143
El Cajon,California,-0.8428439067242299,2.3713205720676034,-0.7873472537269064,-0.1812204509611761,3.245926548164842,-0.22672381131958627,0.24155822508658864
Fresno,California,-1.4095905736270025,-1.0343114998734309,0.23581212363131326,-0.1718150236233653,3.2239548743710436,-0.7402302871384463,0.22762622272270855
Austin,Texas,-1.3297528687512594,0.92858573878535,-0.5791661113876677,1.028121412336264,3.055306902750453,-1.0515467464820523,0.22459251769314753
Concord,California,-1.9717872657981017,1.123237504795352,-0.5477159037274483,0.5706964817665731,3.138062202637123,-0.11431218752398126,0.21498866547083306
New York,New York,0.1146303627960789,-1.046997189138548,-1.2731067909975404,0.28798705857426093,2.22642948235691,-0.28628938813266186,0.21393014491940954
Minneapolis,Minnesota,0.6651785011904597,0.9109481792082672,0.0951447074405978,-0.22655534454166779,0.46299970927811374,0.05637060617509095,0.2106276359085189
Santa Rosa,California,-0.5507250186303523,1.5995345294718295,-0.9324143016291019,-0.5379689942781055,3.2247806873066227,-0.1571983678193727,0.2092948009899381
