city,state,population,area,radius,gyms,per_100k,score
Fullerton,California,139250,22.4,4297.322606181202,2,1.436265709156194,1.9361615156712324
Salt Lake City,Utah,209593,110.3,9535.900372431966,3,1.4313455124932608,1.9312108094960998
Fontana,California,215465,43.1,5960.910263387645,3,1.3923375026106328,1.8913478060927074
Jackson,Mississippi,143709,111.7,9596.227501565283,2,1.391701285236137,1.890688427587568
Pomona,California,145502,23.0,4354.495708340998,2,1.3745515525559786,1.8727998593796051
Escondido,California,148122,37.3,5545.342370732375,2,1.3502383170629617,1.8470529086616054
Santa Clarita,California,224028,70.8,7639.951079619101,3,1.3391183244951523,1.835122286064821
Riverside,California,318858,81.2,8181.858482843949,4,1.2544769144885812,1.740924765032418
San Francisco,California,808988,46.9,6218.138200978377,10,1.2361122785504852,1.7196486353065847
Garden Grove,California,168234,18.0,3852.2121918354073,2,1.1888203335829857,1.663369540292696
Santa Rosa,California,175845,42.5,5919.273593592036,2,1.137365293298075,1.5995345294718293
Reno,Nevada,274915,108.8,9470.837749747257,3,1.0912463852463488,1.539815718171847
San Diego,California,1388320,325.9,16391.403040490753,15,1.0804425492681802,1.5254612045691205
Chandler,Arizona,280167,65.3,7337.203076488667,3,1.0707899217252568,1.5125143087460438
Huntington Beach,California,192129,27.0,4717.9771254625675,2,1.040967266784296,1.4717635470415538
Grand Rapids,Michigan,196608,44.8,6077.33191155395,2,1.0172526041666665,1.438516816952195
Overland Park,Kansas,197089,75.2,7873.7726224246335,2,1.0147699770154601,1.4349915848069554
Knoxville,Tennessee,198162,98.7,9020.539761782959,2,1.0092752394505504,1.4271585087023175
Hesperia,California,100633,72.7,7741.785857160238,1,0.9937098168592807,1.4047353658323263
Pittsburgh,Pennsylvania,303255,55.4,6758.165628454648,3,0.9892664589207103,1.398269911585572
Albany,New York,101228,21.4,4200.305079513752,1,0.9878689690599439,1.3962304437787183
Chico,California,101301,34.1,5302.139359041544,1,0.987157086307144,1.3951904273608642
San Mateo,California,101327,12.1,3158.3963857223916,1,0.9869037867498298,1.3948201915467717
Fayetteville,Arkansas,101680,54.1,6678.402368443875,1,0.983477576711251,1.38980290778103
Rochester,New York,207274,35.8,5432.69673161767,2,0.9649063558381659,1.362299683969895
Fishers,Indiana,104094,35.6,5417.500347356511,1,0.9606701635060618,1.3559519294475502
West Covina,California,105617,16.0,3631.90048455508,1,0.9468172737343419,1.3349967751901293
Moreno Valley,California,212392,51.3,6503.282670862251,2,0.9416550529210139,1.3271094169140951
Hillsboro,Oregon,107730,25.7,4602.995078163671,1,0.92824654228163,1.3064187844001747
Buckeye,Arizona,108909,393.0,17999.90545804441,1,0.9181977614338577,1.2907156631132342
