RegionID,size,city,state,zhvi,score
28065,230,Yuma,AZ,198643.0,0.5835310284498402
51758,465,Duluth,MN,198720.0,0.5829719048296798
16726,285,Allentown,PA,198857.0,0.5819776359035357
13554,335,Rock Hill,SC,199604.0,0.5765683513909647
40574,418,Rio Rancho,NM,199793.0,0.5752029461271243
38047,480,Covington,GA,200158.0,0.5725697043744357
14667,302,Wilmington,DE,200743.0,0.5683593023153335
12694,239,Mesquite,TX,201184.0,0.565193410159065
18172,16,Fort Worth,TX,201844.0,0.5604682814922983
23534,299,Athens,GA,202201.0,0.5579188512871165
50763,51,Arlington,TX,202974.0,0.5524140465995755
38581,490,Fort Pierce,FL,203548.0,0.5483399374305861
32777,437,McDonough,GA,205334.0,0.5357364492344873
32503,84,Lincoln,NE,205547.0,0.5342406678708493
18251,111,Garland,TX,206437.0,0.528007413260061
13121,20,Orlando,FL,206445.0,0.5279515059532345
17551,297,Concord,NC,207400.0,0.5212930893495732
44564,109,Chesapeake,VA,207970.0,0.5173335511571426
37074,379,Albany,NY,208009.0,0.5170630321801774
39398,471,Lees Summit,MO,209117.0,0.5093986340611928
33230,255,Olathe,KS,209425.0,0.5072753099847389
50741,444,Apopka,FL,209479.0,0.5069033606472318
6183,238,Newark,DE,210391.0,0.5006359924307674
11671,137,Grand Rapids,MI,210610.0,0.4991350447254032
18847,173,Kissimmee,FL,210686.0,0.498614532665963
37837,174,Chattanooga,TN,211564.0,0.49261482599232836
6155,274,New Haven,CT,211965.0,0.48988291916060367
17943,346,Elgin,IL,212677.0,0.4850449623324145
17070,263,Bloomington,IN,214993.0,0.4694192959170922
7087,171,Sioux Falls,SD,215103.0,0.46868133761030495
7221,202,Springfield,MA,215117.0,0.46858744271662456
47250,201,Pueblo,CO,219234.0,0.4412374268646954
41515,44,Virginia Beach,VA,219921.0,0.436723611461904
3506,59,Bakersfield,CA,220473.0,0.43310699507012407
19307,321,Melbourne,FL,220563.0,0.43251818800910274
25104,93,Hialeah,FL,220635.0,0.4320473153221634
31209,341,Delray Beach,FL,222259.0,0.4214671437821039
19892,198,Pembroke Pines,FL,222697.0,0.41862686010457734
182023,205,Henrico,VA,222796.0,0.41798565222297573
27219,415,Spring Hill,FL,223002.0,0.41665233444417704
395471,409,Lakewood Township,NJ,224587.0,0.4064345623442528
11049,400,Davie,FL,226605.0,0.3935292891753731
26791,306,Rochester,MN,226894.0,0.3916905247094852
23429,35,Albuquerque,NM,227877.0,0.3854536651302366
21320,145,Wilmington,NC,228028.0,0.3844979969136559
40202,160,Overland Park,KS,228663.0,0.38048604160320576
21114,213,Visalia,CA,228840.0,0.3793697340162488
37427,260,Billings,MT,229083.0,0.3778385817140366
24822,283,Gainesville,GA,230355.0,0.36985007061646763
3806,235,Bridgeport,CT,231255.0,0.36422442480269374
7680,360,Vero Beach,FL,231977.0,0.35972721103944133
6752,125,Richmond,VA,233177.0,0.35228349179927054
5914,241,Metairie,LA,234277.0,0.34549365804357135
33450,449,Plantation,FL,234511.0,0.34405338795301404
12065,118,Irving,TX,236028.0,0.33475096685853795
26534,451,Plainfield,IL,236731.0,0.3304603436814229
10700,477,Canton,MI,237615.0,0.3250830710045084
6790,375,Riverview,FL,237730.0,0.324385009878635
23482,75,Anchorage,AK,238203.0,0.32151740045037264
41715,470,Williamsburg,VA,238619.0,0.31900006153026367
27317,309,Summerville,SC,238928.0,0.3171330502000705
41114,191,Sugar Land,TX,240505.0,0.30764209615728083
38128,9,Dallas,TX,241651.0,0.300784018563107
39931,192,Naperville,IL,241951.0,0.2989940815165868
41802,337,Yakima,WA,241995.0,0.29873174405755615
